Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6KUseALz8TNRr1PYaJnKjv,"ADCT","ADCT","MORGAN",2021-10-19,226537,50,false,312ctbywossydaez37pttmshkwk4,2024-07-08T04:40:39Z,"","Major Tom's Records",0.48,0.709,6,-4.952,0,0.253,0.145,0,0.102,0.329,95.637,4
spotify:track:06UUKFWdB0NJIY0RfVfCYQ,"Hide & Seek","This Is What I Mean","Stormzy",2022-11-25,207773,63,true,312ctbywossydaez37pttmshkwk4,2024-07-08T05:23:44Z,"grime,uk grime,uk drill","0207 Def Jam",0.8,0.435,2,-4.89,1,0.0745,0.346,0.0015,0.121,0.757,104.979,4
spotify:track:58BJ5oUPX5ST2pjCtOSMkk,"Money Calling (feat. RAYE, Russ Millions & wewantwraiths)","Money Calling (feat. RAYE, Russ Millions & wewantwraiths)","Da Beatfreakz;Russ Millions;RAYE;wewantwraiths",2021-10-28,191897,55,true,312ctbywossydaez37pttmshkwk4,2024-07-08T05:25:23Z,"afroswing,grime,uk grime,uk drill,drill","Columbia",0.651,0.674,1,-7.242,0,0.321,0.202,0,0.104,0.61,143.965,4
spotify:track:6nmdB2m09908AGFIpS4MKu,"Adrenaline Rush - Subsonic Remix","Adrenaline Rush (Subsonic Remix)","Sigma;MORGAN;Subsonic",2023-07-31,193103,33,false,312ctbywossydaez37pttmshkwk4,2024-07-08T05:26:42Z,"drum and bass,bassline","3Beat",0.579,0.872,7,-1.641,1,0.0361,0.115,0.000089,0.139,0.283,86.975,4
spotify:track:2afzOWMNGCFPklVFu6Ex8c,"LOVE IS WAR","LOVE IS WAR","Thomas Austin",2023-06-10,188108,0,true,312ctbywossydaez37pttmshkwk4,2024-07-09T10:11:48Z,"christian hip hop,christian r&b","Forever Undefeated LLC",0.685,0.576,6,-8.352,0,0.239,0.747,0.00000173,0.115,0.415,92.654,4
spotify:track:5b3XJ1pjrHO5JtY2PcTjnI,"Mamushi (feat. Yuki Chiba)","MEGAN","Megan Thee Stallion;Yuki Chiba",2024-06-28,156988,72,true,312ctbywossydaez37pttmshkwk4,2024-07-10T02:45:51Z,"j-rap","Hot Girl Productions",0.892,0.531,1,-4.968,1,0.207,0.033,0,0.0824,0.209,81.036,4
spotify:track:7eUalfb6XYFlpM8LvHmsJD,"Veneno","Veneno","SOFI TUKKER;Mari Merenda;Sophia Ardessore",2023-11-10,143253,48,false,312ctbywossydaez37pttmshkwk4,2024-07-10T18:45:09Z,"","SOFI TUKKER LLC",0.699,0.883,6,-4.991,0,0.0707,0.137,0.0181,0.279,0.511,120.038,4
spotify:track:0EzdqfGGIH5YfBQrmd4XTl,"Which Way","Daydreams / Which Way","G Jones",2023-05-05,178779,27,false,312ctbywossydaez37pttmshkwk4,2024-07-12T13:31:05Z,"bass music,drumstep,glitch","Illusory Records",0.678,0.919,1,-4.375,1,0.195,0.0937,0.632,0.0727,0.643,123.745,4
spotify:track:72jA4yrxxWkefvFUujVaN7,"Rendezvous","Rendezvous - EP","Jenevieve",2022-09-09,179754,55,true,312ctbywossydaez37pttmshkwk4,2024-07-13T11:25:43Z,"alternative r&b","Joyface Records/Interscope Records",0.828,0.711,1,-4.746,0,0.0524,0.46,0.0149,0.16,0.844,109.999,4
spotify:track:2DwUdMJ5uxv20EhAildreg,"Cookie","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,235562,73,false,312ctbywossydaez37pttmshkwk4,2024-07-13T11:28:25Z,"k-pop","ADOR",0.847,0.638,0,-3.764,1,0.0575,0.0596,0,0.0894,0.661,156.935,4
spotify:track:0d6PXcdf0OTlfF16uQ7fh6,"Rawww","Rawww","youra",2021-11-20,160466,41,false,312ctbywossydaez37pttmshkwk4,2024-07-13T11:53:54Z,"","2021 MUN HWA IN under license to Glitters",0.752,0.722,11,-6.342,0,0.0442,0.387,0.000049,0.167,0.872,123.943,4
spotify:track:5sHDZ0XGlFtckESAKEAqWZ,"Fragile (feat. youra & pH-1) - 2022 Remaster","Avenue","Apro;pH-1;youra",2022-07-07,167920,0,false,312ctbywossydaez37pttmshkwk4,2024-07-13T12:07:32Z,"k-rap","ADA Korea",0.838,0.508,0,-7.508,1,0.0628,0.456,0.00000132,0.223,0.63,124.083,4
spotify:track:54KEm0VI9i3ic7VHHKHKRx,"¿Cómo Así?","ORQUÍDEAS","Kali Uchis",2024-01-12,169654,56,false,312ctbywossydaez37pttmshkwk4,2024-07-13T12:16:55Z,"","Geffen Records",0.722,0.821,6,-7.662,0,0.0892,0.0417,0.346,0.154,0.379,135.985,4
spotify:track:6KS5iyM4uDuJ6oAacMSXha,"Princess Going Digital","Fountain Baby","Amaarae",2023-06-09,189440,62,true,312ctbywossydaez37pttmshkwk4,2024-07-13T12:20:03Z,"alté,afrobeats,afro r&b","Golden Angel/ Interscope Records",0.498,0.729,10,-6.583,0,0.039,0.0251,0.0227,0.233,0.372,130.125,5
spotify:track:6qk3jI8bKCgURI3h0d8zBZ,"Again","Realms","Wande Coal",2020-09-10,156083,65,false,312ctbywossydaez37pttmshkwk4,2024-07-17T21:45:04Z,"afrobeats,afrobeat,afropop,azonto,afropiano,afro r&b,afroswing,alté","Starstruck Management, Inc. / EMPIRE",0.654,0.39,1,-9.858,0,0.36,0.688,0,0.106,0.552,125.944,5
spotify:track:29e2gdZN35wxeGgDtkXjIa,"Feeling","Feeling","LADIPOE;BNXN",2021-05-07,224000,53,false,312ctbywossydaez37pttmshkwk4,2024-07-17T21:51:18Z,"afrobeats,afrobeat,afropop,alté,afro r&b,afro soul,afro adura,afropiano,afroswing","Mavin Records",0.615,0.575,7,-6.515,0,0.4,0.26,0.00000427,0.324,0.552,134.791,5
spotify:track:096o8GqNVbk3JIU8Rq1oPc,"Guantanamo","Bread & Barrels Of Water","Outlandish",2003-06-30,296200,56,false,312ctbywossydaez37pttmshkwk4,2024-07-19T12:53:11Z,"dansk pop","RCA Records Label",0.799,0.675,9,-6.847,0,0.263,0.51,0.0000999,0.0955,0.944,92.019,4
spotify:track:2oOZavHCHCCd9lV1oYBw62,"act vi: mad man","u made me a st4r","4batz",2024-05-03,158804,53,true,312ctbywossydaez37pttmshkwk4,2024-07-19T14:30:06Z,"","4batz/gamma.",0.778,0.33,4,-9.113,1,0.0575,0.393,0,0.111,0.287,132.468,4
spotify:track:71ySrfAppuaI2p873viZJl,"Golden","GOLD","Tay Iwar;Le Mav;GOLD",2019-12-13,149153,22,false,312ctbywossydaez37pttmshkwk4,2024-07-19T18:25:09Z,"alté,afro r&b,afrobeats,afro soul,afrobeat,afroswing,afropop","GOLD",0.64,0.626,0,-8.674,1,0.216,0.284,0,0.178,0.566,98.01,4
spotify:track:2f86Ae3R4OKAu1lEIqouih,"To Summer, From Cole - Audio Hug","CLEAR 2: SOFT LIFE EP","Summer Walker;J. Cole",2023-05-19,147666,66,true,312ctbywossydaez37pttmshkwk4,2024-07-19T18:34:04Z,"r&b,rap","LVRN/Interscope Records",0.73,0.468,6,-9.911,0,0.314,0.711,0.000005,0.101,0.6,74.044,4
spotify:track:78LJK1nCgnYprkhLK0JriD,"In Love","Bad Boy Etiquette 101","Ajebo Hustlers;FAVE",2022-12-09,200412,50,true,312ctbywossydaez37pttmshkwk4,2024-07-20T12:39:51Z,"afrobeats,alté,afrobeat,afro adura,afropop,nigerian drill,afro soul,afropiano,afro r&b","Avante Entertainment",0.652,0.773,9,-5.605,0,0.359,0.0192,0,0.192,0.511,193.75,4
spotify:track:1s2FsIDYlX6nhQ6UXF4V2w,"SOMETHING","SOMETHING","Gyakie",2022-06-10,188411,55,false,312ctbywossydaez37pttmshkwk4,2024-07-20T12:43:09Z,"afrobeats,hiplife,afropop,afrobeat,afro r&b,asakaa,afro soul","SM Entertainment West Africa Limited",0.777,0.531,6,-7.689,1,0.0644,0.481,0.00000862,0.0997,0.58,107.004,4
spotify:track:3nAq2hCr1oWsIU54tS98pL,"Waves","The Life Of Pablo","Kanye West",2016-06-10,181573,70,true,312ctbywossydaez37pttmshkwk4,2024-07-20T12:45:18Z,"rap","Rock The World/IDJ/Kanye LP7",0.557,0.586,10,-4.57,1,0.0382,0.0528,0.00000733,0.339,0.0681,96.091,4
spotify:track:3iuObMBlVzxmJaym2oAXrd,"OTD","OTD","Njerae",2023-08-18,147906,47,false,312ctbywossydaez37pttmshkwk4,2024-07-21T00:11:02Z,"afro r&b,afro soul,gengetone,rumba congolaise","Njerae",0.687,0.493,2,-8.121,0,0.134,0.733,0.0009,0.0709,0.483,79.93,4
spotify:track:4v5kAh2wWyCSuKuhMJK8u6,"Long Way 2 Go","Cassie (U.S. Version)","Cassie",2006-08-07,220639,82,false,312ctbywossydaez37pttmshkwk4,2024-07-22T16:13:32Z,"","Bad Boy Records",0.589,0.655,8,-8.138,1,0.0488,0.057,0.000353,0.372,0.675,105.272,4
spotify:track:6qS9yoAUIXNfno5t4YLQdn,"Risk","Stubborn","Victony",2024-06-21,202958,1,true,312ctbywossydaez37pttmshkwk4,2024-07-23T11:46:50Z,"afrobeats,afrobeat,afropop,afropiano,afro r&b,afro soul,alté","Encore Recordings",0.743,0.685,5,-7.981,1,0.106,0.113,0,0.526,0.555,154.07,4
spotify:track:1VAKnb1btGrQXcVZVSRkPe,"Good & Plenty","Good & Plenty","Alex Isley;Masego;Jack Dine",2020-07-17,204705,62,false,312ctbywossydaez37pttmshkwk4,2024-07-23T12:25:08Z,"neo soul,alternative r&b","Isley & Dine Records",0.658,0.619,9,-7.316,0,0.0772,0.788,0.0667,0.0951,0.354,136.077,4
spotify:track:0GT2hQQ6mdHeW0AZDl5NlJ,"Gatluak - Bakermat Remix","Gatluak (Bakermat Remix)","Kronan;Nyaruach;Bakermat",2021-07-23,139383,64,false,312ctbywossydaez37pttmshkwk4,2024-07-25T06:58:58Z,"tropical house","Big Top Amsterdam",0.581,0.647,11,-7.335,0,0.0614,0.0778,0.0502,0.304,0.257,117.737,4
spotify:track:5IUtvfNvOyVYZUa6AJFrnP,"Spicy (feat. Post Malone)","Featuring Ty Dolla $ign","Ty Dolla $ign;Post Malone",2020-10-23,143375,62,true,312ctbywossydaez37pttmshkwk4,2024-07-25T07:03:55Z,"trap soul","Atlantic Records",0.782,0.51,4,-5.724,0,0.0419,0.143,0,0.115,0.118,99.993,4
spotify:track:1ia019RqDK2o4QiANR1Dyn,"Moment 4 Life","Pink Friday","Nicki Minaj;Drake",2010-01-01,279306,71,true,312ctbywossydaez37pttmshkwk4,2024-07-25T07:05:58Z,"rap","Nicki Minaj/Cash Money",0.475,0.882,11,-3.883,1,0.351,0.406,0,0.241,0.369,98.001,4
spotify:track:71rw9MB77BR8LHMFZK8gKV,"SPLAT","SPLAT","Connor Price",2022-05-20,125685,62,false,312ctbywossydaez37pttmshkwk4,2024-07-25T07:20:17Z,"","4 of Clubs LLC",0.908,0.45,7,-7.174,1,0.314,0.0608,0,0.0663,0.515,108.056,4
spotify:track:7BhOH16ud5ybFUeP3wwhby,"Bleeding Out","Bleeding Out","Chance Peña",2023-01-20,208608,66,false,312ctbywossydaez37pttmshkwk4,2024-07-25T07:26:40Z,"","Chance Peña",0.59,0.438,9,-12.407,0,0.0363,0.728,0.0000102,0.0937,0.352,120.611,4
spotify:track:5goFCtUGQHU4kQuwIupc5D,"Go DJ (feat. SiR)","BUBBA","KAYTRANADA;SiR",2019-12-13,156946,47,true,312ctbywossydaez37pttmshkwk4,2024-07-25T07:52:00Z,"alternative r&b,neo soul","KAYTRANADA/RCA Records",0.524,0.827,6,-5.489,1,0.406,0.0327,0,0.168,0.693,101.085,4
spotify:track:7yNf9YjeO5JXUE3JEBgnYc,"Babydoll","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,97960,93,false,312ctbywossydaez37pttmshkwk4,2024-07-25T08:30:20Z,"","Columbia",0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,4
spotify:track:5iroQL70VoSFrC8ZhVnskA,"DO IT","VULTURES 1","¥$;Kanye West;Ty Dolla $ign",2024-02-09,225000,1,true,312ctbywossydaez37pttmshkwk4,2024-07-27T11:15:31Z,"rap,trap soul","Ye",0.831,0.69,1,-5.869,1,0.0831,0.19,0,0.08,0.65,107.016,4
spotify:track:1oiFkhFg5hvQOUrztXl839,"Cobrastyle","Robyn","Robyn",2005-04-29,252160,34,false,312ctbywossydaez37pttmshkwk4,2024-07-27T22:49:46Z,"swedish pop","Universal-Island Records Ltd.",0.683,0.761,0,-6.32,1,0.0856,0.277,0.0388,0.111,0.744,177.932,4
